Doc;NF;Pedido;Geração;Horário;Cliente;CNPJ;Representante;Vendedor;Transportador;Valor Líquido;
NFS;148360;13463;07/01/2026;16:58;BELLAN & LOPES LTDA;72.092.406/0001-52;AAR CISCATO LTDA.;LUAN CLEMENTE COSTA;TRANS APUCARANA TRANSPORTES RODOVIARIOS LTDA (COLETA); 3.077,84 ;
NFS;148363;13505;07/01/2026;17:24;ROSELI MARIA DE MORAES FERRAZ;03.059.737/0001-78;AAR CISCATO LTDA.;LUAN CLEMENTE COSTA;RODONAVES ATE 100 KG; 4.262,71 ;
NFS;148364;13488;07/01/2026;17:30;AURELIA VIANA NOGUEIRA ME;10.308.806/0001-03;EXPAND REPRESENTACOES E CONSULTORIA LTDA;JONATAS TEIXEIRA;MULTI CARGAS LTDA.(COLETA); 2.080,10 ;
NFS;148365;13443;07/01/2026;17:40;VAREJAO COMERCIO E SERVICOS LTDA;14.897.423/0001-60;AVANT COMERCIO E REPRESENTAÇOES;MARINETE GONÇALVES DE OLIVEIRA;TRANSPECAS TRANSPORTES ESP. DE CARGAS E REPRESENTAÇÃO LTDA (N); 7.202,30 ;
NFS;148366;13506;08/01/2026;08:29;LEJUDA COMERCIO DE PECAS DIESEL LTDA - EPP;22.216.499/0001-01;GABRIEL ATENDIMENTO DIRETO;GABRIEL NEVES;O PROPRIO; 3.328,92 ;
NFS;148367;13487;08/01/2026;08:42;EDER ROBERTO DE OLIVEIRA FRANCA - ME;00.435.484/0003-63;GABRIEL ATENDIMENTO DIRETO;GABRIEL NEVES;JTO TRANSPORTES LTDA (SETEX); 4.025,49 ;
NFS;148372;13493;08/01/2026;09:34;L B ALBUQUERQUE;07.331.265/0001-11;ANDRE ATENDIM DIRETO;ANDRE OLIVEIRA;TRANSPRESS TRANSPORTES EXPRESSO LTDA.(N); 6.132,82 ;
NFS;148373;13507;08/01/2026;09:39;MORELATE SUDESTE DISTRIBUIDORA DE AUTO PECAS LTDA;36.047.577/0001-04;FRANCIELLE ATENDIM DIRETO;FRANCIELLE DE OLIVEIRA BUENO;MECANICA INDUSTRIAL CENTRO LTDA; 5.683,80 ;
NFS;148376;13489;08/01/2026;10:27;METTA DISTRIBUIDORA DE PECAS LTDA;29.700.349/0001-18;JC REPRESENTACOES EIRELI;JONATAS TEIXEIRA;RODONAVES ATE 100 KG; 9.156,46 ;
NFS;148377;13490;08/01/2026;10:41;BANDEIRA DISTRIBUIDORA DE PECAS P/ CAMINHOES LTDA;52.311.923/0001-68;WALDISNEY REPRESENTACOES LTDA. M.E.;ANDRE OLIVEIRA;SOLIDA TRANSPORTES LT; 6.623,81 ;
NFS;148378;13455;08/01/2026;10:45;CENTAUROS DISTRIBUIDORA DE PECAS LTDA.;24.691.990/0001-10;WALDISNEY REPRESENTACOES LTDA. M.E.;ANDRE OLIVEIRA;RADLOG TRANSPORTES LTDA.(N); 5.002,16 ;
NFS;148379;13512;08/01/2026;11:08;TRIEIXO DIESEL PARTS;61.190.608/0001-10;VIVIANE ATENDIM DIRETO;VIVIANE GOMES DOS SANTOS;O PROPRIO; 2.971,80 ;
NFS;148380;13509;08/01/2026;11:10;R2 COMERCIO DE PECAS CAMINHOES LTDA;38.015.372/0001-64;VIVIANE ATENDIM DIRETO;VIVIANE GOMES DOS SANTOS;NEW BIGTRANS TRANSPORTES LTDA (BIGTRANS); 5.008,71 ;
NFS;148381;13499;08/01/2026;11:35;DINATEC PECAS E SERVICOS LTDA;56.124.506/0010-58;TALITA ATENDIM DIRETO;TALITA SANTOS STEVANELLI;RODONAVES ATE 100 KG; 2.740,06 ;
NFS;148382;13518;08/01/2026;15:03;MID DISTRIBUIDORA DE PECAS LTDA;16.722.117/0001-19;WALDISNEY REPRESENTACOES LTDA. M.E.;ANDRE OLIVEIRA;SOLIDA TRANSPORTES LT; 4.413,83 ;
NFS;148387;13515;08/01/2026;15:42;MASTER PECAS DIESEL LTDA - EPP;17.348.809/0001-01;MARROM REPRESENTAÇÕES LTDA.;RENATA FERREIRA;UNIAO TRANSP. DE ENCOMENDAS E COM.(N); 4.978,63 ;
NFS;148388;13496;08/01/2026;15:45;TROVARELLI & PERES LTDA;04.766.892/0001-97;ALTERNATIVAS EM PECAS DE REPOSICAO AUTOMOTIVAS LTDA;FRANCIELLE DE OLIVEIRA BUENO;RODONAVES ATE 100 KG; 2.234,50 ;
NFS;148389;13517;08/01/2026;15:49;AUTO PECAS DALDEGAN LTDA;03.762.256/0001-24;FABIO MAGELA CARVALHO DE FREITAS ME;MARINETE GONÇALVES DE OLIVEIRA;TRANS MINAS TRANSPORTES LTDA - EPP. (N); 4.455,91 ;
NFS;148390;13497;08/01/2026;15:53;SJG COMÉRCIO EM GERAL LTDA;32.764.247/0001-70;ALTERNATIVAS EM PECAS DE REPOSICAO AUTOMOTIVAS LTDA;FRANCIELLE DE OLIVEIRA BUENO;MECANICA INDUSTRIAL CENTRO LTDA; 3.567,67 ;
NFS;148391;13510;08/01/2026;16:14;PAULO LOPES MACHADO AUTO PECAS;81.252.207/0001-55;AAR CISCATO LTDA.;LUAN CLEMENTE COSTA;EXPRESSO PRINCESA DOS CAMPOS S/A (N); 6.268,63 ;
